step,status,elapsed_sec,return_code,command,detail,output,order,elapsed_human
S04-Split data,success,0.0,0,internal ensure_splits,reused,D:\wearing_liveness\new\new_codex_1\cascade\artifacts_deploy_check_20260705\splits.json,1,0s
S05-Run commercial,success,4.46,0,E:\software\anaconda\anaconda\python.exe D:\wearing_liveness\new\new_codex_1\cascade\s05_run_commercial.py --splits_dir D:\wearing_liveness\new\new_codex_1\cascade\artifacts_deploy_check_20260705 --artifact_dir D:\wearing_liveness\new\new_codex_1\cascade\artifacts_timing_check --dc_threshold 300000.0,,,2,4s
S06-Extract errors,success,4.932,0,E:\software\anaconda\anaconda\python.exe D:\wearing_liveness\new\new_codex_1\cascade\s06_extract_errors.py --splits_dir D:\wearing_liveness\new\new_codex_1\cascade\artifacts_deploy_check_20260705 --artifact_dir D:\wearing_liveness\new\new_codex_1\cascade\artifacts_timing_check,,,3,5s
S07-Select features,success,8.428,0,E:\software\anaconda\anaconda\python.exe D:\wearing_liveness\new\new_codex_1\cascade\s07_select_features.py --artifact_dir D:\wearing_liveness\new\new_codex_1\cascade\artifacts_timing_check --max_features 10,,,4,8s
S08-Train corrector,success,1.606,0,E:\software\anaconda\anaconda\python.exe D:\wearing_liveness\new\new_codex_1\cascade\s08_train_corrector.py --artifact_dir D:\wearing_liveness\new\new_codex_1\cascade\artifacts_timing_check --n_estimators 10 --max_depth 2,,,5,2s
S09-Evaluate,success,2.771,0,E:\software\anaconda\anaconda\python.exe D:\wearing_liveness\new\new_codex_1\cascade\s09_evaluate.py --artifact_dir D:\wearing_liveness\new\new_codex_1\cascade\artifacts_timing_check --splits_dir D:\wearing_liveness\new\new_codex_1\cascade\artifacts_deploy_check_20260705 --split test --guard_mode shadow --min_veto_windows 2 --min_veto_ratio 0.4,,,6,3s
